Segment,Customer Count,Percentage of Customers,Total Revenue,Percentage of Revenue,Average Spend,Average Orders,Average Recency (days),Average RFM Score,Repeat Customer Rate,Top State
Potential Loyalists,16380,17.5,3182536.75,23.0,194.29,1.01,90.25,10.756166056166057,0.9401709401709402,SP
At Risk,20959,22.5,2782807.93,20.1,132.77,1.01,392.67,7.129347774225869,1.13555036022711,SP
Loyal Customers,9176,9.8,2622968.51,19.0,285.85,1.14,332.77,11.061900610287706,13.153879686137751,SP
Champions,6429,6.9,1854987.4,13.4,288.53,1.17,90.36,13.551252138746305,14.71457458391663,SP
Other,11804,12.6,1184929.89,8.6,100.38,1.0,219.06,7.81845137241613,0.3558115892917655,SP
At Risk - High Value,2817,3.0,827833.74,6.0,293.87,1.0,391.14,9.035143769968052,0.0,SP
Need Attention,3711,4.0,578169.77,4.2,155.8,1.02,220.24,10.16599299380221,2.1018593371059016,SP
Promising,8557,9.2,338537.66,2.5,39.56,1.01,87.77,9.954657005960033,1.2738109150403178,SP
New Customers,6067,6.5,246914.67,1.8,40.7,1.0,89.45,7.498434151969672,0.0,SP
Hibernating,7458,8.0,194277.36,1.4,26.05,1.0,399.43,5.383614910163582,0.36202735317779566,SP
